Time : 2022-04-06 11:38:51, Label : 26, Word : FREEZE, Percentage = 50.47%, RunTime : 0.1436sec
Time : 2022-04-06 11:41:51, Label : 1, Word : CHOICE, Percentage = 81.94%, RunTime : 0.1413sec
Time : 2022-04-06 11:41:57, Label : 0, Word : NONE, Percentage = 90.21%, RunTime : 0.1468sec
Time : 2022-04-06 11:42:02, Label : 0, Word : NONE, Percentage = 94.37%, RunTime : 0.1291sec
Time : 2022-04-06 11:42:06, Label : 0, Word : NONE, Percentage = 93.11%, RunTime : 0.1152sec
Time : 2022-04-06 11:42:14, Label : 24, Word : FULL_SCREEN, Percentage = 85.43%, RunTime : 0.1186sec
Time : 2022-04-06 11:43:12, Label : 1, Word : CHOICE, Percentage = 99.99%, RunTime : 0.1009sec
Time : 2022-04-06 11:43:18, Label : 2, Word : CLICK, Percentage = 99.93%, RunTime : 0.1030sec
Time : 2022-04-06 11:43:24, Label : 2, Word : CLICK, Percentage = 96.52%, RunTime : 0.1013sec
Time : 2022-04-06 11:43:28, Label : 3, Word : CLOSE, Percentage = 99.97%, RunTime : 0.0852sec
Time : 2022-04-06 11:44:57, Label : 24, Word : FULL_SCREEN, Percentage = 79.95%, RunTime : 0.1159sec
Time : 2022-04-06 11:50:35, Label : 28, Word : PHONE, Percentage = 99.88%, RunTime : 0.1159sec
Time : 2022-04-06 11:50:40, Label : 0, Word : NONE, Percentage = 51.24%, RunTime : 0.1249sec
Time : 2022-04-06 11:50:44, Label : 4, Word : HOME, Percentage = 99.08%, RunTime : 0.1212sec
Time : 2022-04-06 11:50:48, Label : 8, Word : VOICE_COMMANDS, Percentage = 95.75%, RunTime : 0.1318sec
Time : 2022-04-06 11:50:52, Label : 4, Word : HOME, Percentage = 99.72%, RunTime : 0.1194sec
Time : 2022-04-06 11:51:00, Label : 0, Word : NONE, Percentage = 99.41%, RunTime : 0.1123sec
Time : 2022-04-06 11:51:13, Label : 28, Word : PHONE, Percentage = 99.54%, RunTime : 0.1287sec
Time : 2022-04-06 11:52:36, Label : 24, Word : FULL_SCREEN, Percentage = 75.61%, RunTime : 0.1200sec
Time : 2022-04-06 11:52:47, Label : 0, Word : NONE, Percentage = 98.70%, RunTime : 0.0938sec
Time : 2022-04-06 11:52:51, Label : 0, Word : NONE, Percentage = 70.50%, RunTime : 0.1099sec
Time : 2022-04-06 11:52:54, Label : 4, Word : HOME, Percentage = 97.57%, RunTime : 0.1330sec
Time : 2022-04-06 11:52:58, Label : 0, Word : NONE, Percentage = 99.68%, RunTime : 0.1359sec
Time : 2022-04-06 11:53:02, Label : 24, Word : FULL_SCREEN, Percentage = 95.60%, RunTime : 0.1017sec
Time : 2022-04-06 11:53:07, Label : 0, Word : NONE, Percentage = 92.51%, RunTime : 0.0984sec
Time : 2022-04-06 11:53:10, Label : 8, Word : VOICE_COMMANDS, Percentage = 100.00%, RunTime : 0.1169sec
Time : 2022-04-06 11:53:20, Label : 0, Word : NONE, Percentage = 71.45%, RunTime : 0.1267sec
Time : 2022-04-06 13:04:00, Label : 0, Word : NONE, Percentage = 73.67%, RunTime : 0.0847sec
Time : 2022-04-06 13:04:04, Label : 0, Word : NONE, Percentage = 90.86%, RunTime : 0.1002sec
Time : 2022-04-06 13:04:08, Label : 0, Word : NONE, Percentage = 99.96%, RunTime : 0.1286sec
Time : 2022-04-06 13:53:41, Label : 1, Word : CHOICE, Percentage = 100.00%, RunTime : 0.2867sec
Time : 2022-04-06 13:53:48, Label : 22, Word : BIG_SCREEN, Percentage = 100.00%, RunTime : 0.2324sec
